Ensembl Gene ID	Ensembl Transcript ID	Ensembl Protein ID	FlyBase cgid gene	FlyBase cgid transcript	FlyBase cgid protein
FBgn0033054	FBtr0086026	FBpp0085362	CG14591	CG14591-RB	CG14591-PB
FBgn0033054	FBtr0086025	FBpp0085361	CG14591	CG14591-RA	CG14591-PA
FBgn0033055	FBtr0085974	FBpp0085327	CG7861	CG7861-RB	CG7861-PB
FBgn0033055	FBtr0085973	FBpp0085326	CG7861	CG7861-RA	CG7861-PA
FBgn0085240	FBtr0112404	FBpp0111319	CG34211	CG34211-RA	CG34211-PA
FBgn0085241	FBtr0112405	FBpp0111320	CG34212	CG34212-RA	CG34212-PA
FBgn0033058	FBtr0085975	FBpp0085328	CG14593	CG14593-RA	CG14593-PA
FBgn0033056	FBtr0086024	FBpp0085360	CG7856	CG7856-RA	CG7856-PA
FBgn0033059	FBtr0086023	FBpp0085359	CG7845	CG7845-RA	CG7845-PA
FBgn0033060	FBtr0085977	FBpp0085330	CG7849	CG7849-RB	CG7849-PB
FBgn0033060	FBtr0085976	FBpp0085329	CG7849	CG7849-RA	CG7849-PA
FBgn0033061	FBtr0086022	FBpp0085358	CG14590	CG14590-RA	CG14590-PA
FBgn0033062	FBtr0086021	FBpp0085357	CG7843	CG7843-RC	CG7843-PC
FBgn0033062	FBtr0086020	FBpp0085356	CG7843	CG7843-RD	CG7843-PD
FBgn0033062	FBtr0086018	FBpp0085354	CG7843	CG7843-RA	CG7843-PA
FBgn0000546	FBtr0086012	FBpp0085353	CG1765	CG1765-RC	CG1765-PC
FBgn0000546	FBtr0086011	FBpp0085352	CG1765	CG1765-RB	CG1765-PB
FBgn0000546	FBtr0086008	FBpp0085349	CG1765	CG1765-RA	CG1765-PA
FBgn0000546	FBtr0086010	FBpp0085351	CG1765	CG1765-RE	CG1765-PE
FBgn0000546	FBtr0086009	FBpp0085350	CG1765	CG1765-RD	CG1765-PD
FBgn0033063	FBtr0085978	FBpp0085331	CG14589	CG14589-RA	CG14589-PA
FBgn0033065	FBtr0085987	FBpp0085332	CG8345	CG8345-RA	CG8345-PA
FBgn0040502	FBtr0085988	FBpp0085333	CG8343	CG8343-RA	CG8343-PA
FBgn0033067	FBtr0086005	FBpp0085348	CG11211	CG11211-RA	CG11211-PA
FBgn0033068	FBtr0086003	FBpp0085347	CG11212	CG11212-RA	CG11212-PA
FBgn0050432	FBtr0086002	FBpp0085346	CG30432	CG30432-RA	CG30432-PA
FBgn0033069	FBtr0085990	FBpp0085334	CG8335	CG8335-RA	CG8335-PA
FBgn0050431	FBtr0085991	FBpp0085335	CG30431	CG30431-RA	CG30431-PA
FBgn0033072	FBtr0086001	FBpp0085345	CG17994	CG17994-RA	CG17994-PA
FBgn0021847	FBtr0086000	FBpp0085344	CG8325	CG8325-RA	CG8325-PA
FBgn0033073	FBtr0085993	FBpp0085337	CG8276	CG8276-RA	CG8276-PA
FBgn0033073	FBtr0085992	FBpp0085336	CG8276	CG8276-RB	CG8276-PB
FBgn0033074	FBtr0085994	FBpp0085338	CG8330	CG8330-RA	CG8330-PA
