Ensembl Gene ID	Ensembl Transcript ID	Ensembl Protein ID	FlyBase cgid gene	FlyBase cgid transcript	FlyBase cgid protein
FBgn0031208	FBtr0089256	FBpp0088316	CG11023	CG11023-RA	CG11023-PA
FBgn0002121	FBtr0078166	FBpp0077824	CG2671	CG2671-RB	CG2671-PB
FBgn0002121	FBtr0078171	FBpp0077829	CG2671	CG2671-RA	CG2671-PA
FBgn0002121	FBtr0078170	FBpp0077828	CG2671	CG2671-RC	CG2671-PC
FBgn0002121	FBtr0078167	FBpp0077825	CG2671	CG2671-RD	CG2671-PD
FBgn0002121	FBtr0078168	FBpp0077826	CG2671	CG2671-RE	CG2671-PE
FBgn0002121	FBtr0078169	FBpp0077827	CG2671	CG2671-RF	CG2671-PF
FBgn0031209	FBtr0113008	FBpp0111921	CG2657	CG2657-RB	CG2657-PB
FBgn0051973	FBtr0113416	FBpp0112328	CG31973	CG31973-RE	CG31973-PE
FBgn0051973	FBtr0113415	FBpp0112327	CG31973	CG31973-RD	CG31973-PD
FBgn0051973	FBtr0078163	FBpp0077821	CG31973	CG31973-RA	CG31973-PA
FBgn0051973	FBtr0078164	FBpp0077822	CG31973	CG31973-RB	CG31973-PB
FBgn0067779	FBtr0078100	FBpp0077759	CG11371	CG11371-RB	CG11371-PB
FBgn0031213	FBtr0078101	FBpp0077760	CG11372	CG11372-RA	CG11372-PA
FBgn0031214	FBtr0114507	FBpp0112999	CG11374	CG11374-RB	CG11374-PB
FBgn0002931	FBtr0078162	FBpp0077820	CG11450	CG11450-RA	CG11450-PA
FBgn0031216	FBtr0078103	FBpp0077762	CG11376	CG11376-RA	CG11376-PA
FBgn0031217	FBtr0078104	FBpp0077763	CG11377	CG11377-RA	CG11377-PA
FBgn0026787	FBtr0078161	FBpp0077819	CG12178	CG12178-RA	CG12178-PA
FBgn0005278	FBtr0089429	FBpp0088445	CG2674	CG2674-RA	CG2674-PA
FBgn0005278	FBtr0089431	FBpp0088447	CG2674	CG2674-RC	CG2674-PC
FBgn0005278	FBtr0089430	FBpp0088446	CG2674	CG2674-RD	CG2674-PD
FBgn0005278	FBtr0089436	FBpp0088452	CG2674	CG2674-RG	CG2674-PG
FBgn0005278	FBtr0089435	FBpp0088451	CG2674	CG2674-RJ	CG2674-PJ
FBgn0005278	FBtr0089432	FBpp0088448	CG2674	CG2674-RH	CG2674-PH
FBgn0005278	FBtr0089433	FBpp0088449	CG2674	CG2674-RF	CG2674-PF
FBgn0005278	FBtr0089434	FBpp0088450	CG2674	CG2674-RI	CG2674-PI
FBgn0005278	FBtr0089437	FBpp0088926	CG2674	CG2674-RE	CG2674-PE
FBgn0005278	FBtr0089428	FBpp0088444	CG2674	CG2674-RB	CG2674-PB
FBgn0031219	FBtr0078160	FBpp0077818	CG13694	CG13694-RA	CG13694-PA
FBgn0031220	FBtr0100307	FBpp0099712	CG4822	CG4822-RE	CG4822-PE
FBgn0031220	FBtr0100308	FBpp0099713	CG4822	CG4822-RF	CG4822-PF
FBgn0031220	FBtr0100310	FBpp0099715	CG4822	CG4822-RH	CG4822-PH
FBgn0031220	FBtr0100309	FBpp0099714	CG4822	CG4822-RG	CG4822-PG
FBgn0031220	FBtr0078159	FBpp0077817	CG4822	CG4822-RB	CG4822-PB
FBgn0031220	FBtr0078158	FBpp0077816	CG4822	CG4822-RD	CG4822-PD
FBgn0031220	FBtr0078156	FBpp0077814	CG4822	CG4822-RA	CG4822-PA
FBgn0031220	FBtr0078157	FBpp0077815	CG4822	CG4822-RC	CG4822-PC
FBgn0025683	FBtr0078153	FBpp0077812	CG3164	CG3164-RA	CG3164-PA
FBgn0025683	FBtr0078155	FBpp0089109	CG3164	CG3164-RC	CG3164-PC
FBgn0025683	FBtr0100379	FBpp0099791	CG3164	CG3164-RD	CG3164-PD
FBgn0025683	FBtr0078154	FBpp0077813	CG3164	CG3164-RB	CG3164-PB
FBgn0001142	FBtr0078115	FBpp0077774	CG2718	CG2718-RC	CG2718-PC
FBgn0001142	FBtr0078114	FBpp0077773	CG2718	CG2718-RB	CG2718-PB
FBgn0051976	FBtr0078152	FBpp0077811	CG31976	CG31976-RA	CG31976-PA
FBgn0051975	FBtr0078151	FBpp0077810	CG31975	CG31975-RA	CG31975-PA
FBgn0051974	FBtr0078150	FBpp0077809	CG31974	CG31974-RA	CG31974-PA
FBgn0031224	FBtr0078116	FBpp0077775	CG11454	CG11454-RA	CG11454-PA
FBgn0031225	FBtr0078149	FBpp0077808	CG4648	CG4648-RA	CG4648-PA
FBgn0031226	FBtr0078148	FBpp0077807	CG11620	CG11620-RA	CG11620-PA
FBgn0031227	FBtr0078147	FBpp0077806	CG3709	CG3709-RA	CG3709-PA
FBgn0031228	FBtr0078118	FBpp0077777	CG11455	CG11455-RB	CG11455-PB
FBgn0031228	FBtr0078117	FBpp0077776	CG11455	CG11455-RA	CG11455-PA
FBgn0031229	FBtr0078120	FBpp0077779	CG3436	CG3436-RB	CG3436-PB
FBgn0031229	FBtr0078119	FBpp0077778	CG3436	CG3436-RA	CG3436-PA
FBgn0053635	FBtr0091612	FBpp0090982	CG33635	CG33635-RA	CG33635-PA
FBgn0016977	FBtr0078123	FBpp0077782	CG18497	CG18497-RC	CG18497-PC
FBgn0016977	FBtr0078121	FBpp0077780	CG18497	CG18497-RB	CG18497-PB
FBgn0016977	FBtr0078122	FBpp0077781	CG18497	CG18497-RA	CG18497-PA
FBgn0031231	FBtr0078124	FBpp0077783	CG11488	CG11488-RA	CG11488-PA
FBgn0031232	FBtr0078146	FBpp0077805	CG11617	CG11617-RA	CG11617-PA
FBgn0031233	FBtr0078125	FBpp0077784	CG11490	CG11490-RA	CG11490-PA
FBgn0086902	FBtr0078144	FBpp0077803	CG3696	CG3696-RA	CG3696-PA
FBgn0086902	FBtr0078145	FBpp0077804	CG3696	CG3696-RB	CG3696-PB
FBgn0031235	FBtr0078126	FBpp0077785	CG13693	CG13693-RA	CG13693-PA
FBgn0022246	FBtr0078143	FBpp0077802	CG11606	CG11606-RA	CG11606-PA
FBgn0031238	FBtr0078140	FBpp0077799	CG3645	CG3645-RA	CG3645-PA
FBgn0031238	FBtr0078141	FBpp0077800	CG3645	CG3645-RB	CG3645-PB
FBgn0031239	FBtr0078142	FBpp0077801	CG17075	CG17075-RA	CG17075-PA
FBgn0031240	FBtr0078127	FBpp0077786	CG3345	CG3345-RA	CG3345-PA
FBgn0031242	FBtr0078139	FBpp0077798	CG11604	CG11604-RA	CG11604-PA
FBgn0086856	FBtr0078128	FBpp0077787	CG11555	CG11555-RA	CG11555-PA
FBgn0086855	FBtr0078138	FBpp0077797	CG17078	CG17078-RA	CG17078-PA
FBgn0003444	FBtr0078129	FBpp0077788	CG11561	CG11561-RA	CG11561-PA
FBgn0031244	FBtr0078137	FBpp0077796	CG11601	CG11601-RA	CG11601-PA
FBgn0031245	FBtr0078136	FBpp0077795	CG3625	CG3625-RB	CG3625-PB
FBgn0031245	FBtr0078135	FBpp0077794	CG3625	CG3625-RA	CG3625-PA
FBgn0031245	FBtr0113009	FBpp0111922	CG3625	CG3625-RC	CG3625-PC
FBgn0025686	FBtr0078134	FBpp0077793	CG11592	CG11592-RA	CG11592-PA
FBgn0031247	FBtr0078130	FBpp0077789	CG11562	CG11562-RA	CG11562-PA
FBgn0017457	FBtr0078133	FBpp0077792	CG3582	CG3582-RA	CG3582-PA
FBgn0024352	FBtr0078131	FBpp0077790	CG2720	CG2720-RA	CG2720-PA
FBgn0020622	FBtr0078132	FBpp0077791	CG2699	CG2699-RA	CG2699-PA
FBgn0004611	FBtr0078047	FBpp0077710	CG4574	CG4574-RA	CG4574-PA
FBgn0004611	FBtr0078048	FBpp0077711	CG4574	CG4574-RB	CG4574-PB
FBgn0004611	FBtr0078051	FBpp0089224	CG4574	CG4574-RF	CG4574-PF
FBgn0004611	FBtr0078050	FBpp0089226	CG4574	CG4574-RD	CG4574-PD
FBgn0004611	FBtr0078049	FBpp0089225	CG4574	CG4574-RC	CG4574-PC
FBgn0031248	FBtr0078099	FBpp0077758	CG11912	CG11912-RA	CG11912-PA
FBgn0031249	FBtr0078098	FBpp0077757	CG11911	CG11911-RA	CG11911-PA
FBgn0053127	FBtr0078052	FBpp0077712	CG33127	CG33127-RA	CG33127-PA
FBgn0051920	FBtr0078097	FBpp0077756	CG31920	CG31920-RB	CG31920-PB
FBgn0045202	FBtr0100045	FBpp0099402	CG33992	CG33992-RA	CG33992-PA
FBgn0051921	FBtr0078096	FBpp0077755	CG31921	CG31921-RA	CG31921-PA
FBgn0031250	FBtr0078095	FBpp0077754	CG11907	CG11907-RB	CG11907-PB
FBgn0031250	FBtr0078094	FBpp0077753	CG11907	CG11907-RA	CG11907-PA
FBgn0000061	FBtr0078053	FBpp0077713	CG3935	CG3935-RA	CG3935-PA
FBgn0031251	FBtr0078093	FBpp0077752	CG4213	CG4213-RA	CG4213-PA
FBgn0003278	FBtr0078054	FBpp0077714	CG4033	CG4033-RA	CG4033-PA
FBgn0015567	FBtr0089488	FBpp0088490	CG4260	CG4260-RA	CG4260-PA
FBgn0015567	FBtr0089489	FBpp0088945	CG4260	CG4260-RB	CG4260-PB
FBgn0023444	FBtr0078055	FBpp0077715	CG4063	CG4063-RA	CG4063-PA
FBgn0031252	FBtr0078090	FBpp0077750	CG13690	CG13690-RA	CG13690-PA
FBgn0002593	FBtr0078056	FBpp0077716	CG4087	CG4087-RA	CG4087-PA
FBgn0031253	FBtr0078089	FBpp0077749	CG11885	CG11885-RA	CG11885-PA
FBgn0031254	FBtr0078057	FBpp0077717	CG13692	CG13692-RA	CG13692-PA
FBgn0031255	FBtr0078058	FBpp0077718	CG13691	CG13691-RA	CG13691-PA
FBgn0004583	FBtr0078059	FBpp0077719	CG4114	CG4114-RA	CG4114-PA
FBgn0015924	FBtr0078088	FBpp0077748	CG4280	CG4280-RB	CG4280-PB
FBgn0015924	FBtr0078087	FBpp0077747	CG4280	CG4280-RA	CG4280-PA
FBgn0031256	FBtr0078060	FBpp0077720	CG4164	CG4164-RA	CG4164-PA
FBgn0031257	FBtr0078061	FBpp0077721	CG4133	CG4133-RA	CG4133-PA
FBgn0031258	FBtr0078085	FBpp0077745	CG4297	CG4297-RA	CG4297-PA
FBgn0031258	FBtr0078086	FBpp0077746	CG4297	CG4297-RB	CG4297-PB
FBgn0027592	FBtr0078062	FBpp0077722	CG4184	CG4184-RA	CG4184-PA
FBgn0043364	FBtr0078083	FBpp0077743	CG4427	CG4427-RA	CG4427-PA
FBgn0043364	FBtr0078084	FBpp0077744	CG4427	CG4427-RB	CG4427-PB
FBgn0003963	FBtr0078063	FBpp0077723	CG2762	CG2762-RA	CG2762-PA
FBgn0010602	FBtr0078081	FBpp0077741	CG3018	CG3018-RA	CG3018-PA
FBgn0010602	FBtr0078082	FBpp0077742	CG3018	CG3018-RB	CG3018-PB
FBgn0031260	FBtr0078080	FBpp0077740	CG11840	CG11840-RA	CG11840-PA
FBgn0031261	FBtr0078064	FBpp0077724	CG11822	CG11822-RA	CG11822-PA
FBgn0031261	FBtr0078065	FBpp0077725	CG11822	CG11822-RB	CG11822-PB
FBgn0005660	FBtr0078079	FBpp0077739	CG2914	CG2914-RA	CG2914-PA
FBgn0005660	FBtr0112854	FBpp0111767	CG2914	CG2914-RB	CG2914-PB
FBgn0031262	FBtr0078078	FBpp0077738	CG11838	CG11838-RB	CG11838-PB
FBgn0031262	FBtr0078077	FBpp0077737	CG11838	CG11838-RA	CG11838-PA
FBgn0031263	FBtr0078066	FBpp0077726	CG2789	CG2789-RA	CG2789-PA
FBgn0031264	FBtr0078076	FBpp0077736	CG11835	CG11835-RA	CG11835-PA
FBgn0031265	FBtr0078067	FBpp0077727	CG2794	CG2794-RA	CG2794-PA
FBgn0021874	FBtr0078075	FBpp0077735	CG2863	CG2863-RA	CG2863-PA
FBgn0031266	FBtr0078068	FBpp0077728	CG2807	CG2807-RA	CG2807-PA
FBgn0031267	FBtr0078074	FBpp0077734	CG13688	CG13688-RA	CG13688-PA
FBgn0031268	FBtr0078069	FBpp0077729	CG2813	CG2813-RA	CG2813-PA
FBgn0013323	FBtr0078073	FBpp0077733	CG13687	CG13687-RA	CG13687-PA
FBgn0023489	FBtr0078070	FBpp0077730	CG2819	CG2819-RA	CG2819-PA
FBgn0010323	FBtr0114568	FBpp0113060	CG2851	CG2851-RB	CG2851-PB
FBgn0010323	FBtr0078072	FBpp0077732	CG2851	CG2851-RA	CG2851-PA
FBgn0031270	FBtr0078071	FBpp0077731	CG13689	CG13689-RA	CG13689-PA
FBgn0040106	FBtr0078046	FBpp0077709	CG13686	CG13686-RA	CG13686-PA
FBgn0040107	FBtr0077998	FBpp0077663	CG2826	CG2826-RA	CG2826-PA
FBgn0031273	FBtr0077999	FBpp0077664	CG2839	CG2839-RA	CG2839-PA
FBgn0000497	FBtr0078045	FBpp0077708	CG17941	CG17941-RA	CG17941-PA
FBgn0011244	FBtr0078000	FBpp0077665	CG2830	CG2830-RA	CG2830-PA
FBgn0026438	FBtr0078043	FBpp0077707	CG3159	CG3159-RA	CG3159-PA
FBgn0026438	FBtr0078044	FBpp0089334	CG3159	CG3159-RB	CG3159-PB
FBgn0031275	FBtr0078002	FBpp0077667	CG3022	CG3022-RB	CG3022-PB
FBgn0031275	FBtr0078001	FBpp0077666	CG3022	CG3022-RA	CG3022-PA
FBgn0031276	FBtr0078003	FBpp0077668	CG12506	CG12506-RA	CG12506-PA
FBgn0040725	FBtr0078004	FBpp0077669	CG13946	CG13946-RA	CG13946-PA
FBgn0031277	FBtr0078005	FBpp0077670	CG13947	CG13947-RA	CG13947-PA
FBgn0041250	FBtr0078006	FBpp0077671	CG13948	CG13948-RA	CG13948-PA
FBgn0031279	FBtr0078007	FBpp0077672	CG3544	CG3544-RA	CG3544-PA
FBgn0000442	FBtr0078042	FBpp0077706	CG3324	CG3324-RA	CG3324-PA
FBgn0051658	FBtr0078008	FBpp0077673	CG31658	CG31658-RA	CG31658-PA
FBgn0086130	FBtr0078009	FBpp0077674	CG3561	CG3561-RA	CG3561-PA
FBgn0031281	FBtr0078041	FBpp0077705	CG3883	CG3883-RA	CG3883-PA
FBgn0031282	FBtr0078010	FBpp0077675	CG3639	CG3639-RA	CG3639-PA
FBgn0031283	FBtr0078040	FBpp0077704	CG15880	CG15880-RA	CG15880-PA
FBgn0031284	FBtr0078039	FBpp0077703	CG3876	CG3876-RA	CG3876-PA
FBgn0015621	FBtr0078011	FBpp0077676	CG3642	CG3642-RA	CG3642-PA
FBgn0031285	FBtr0100469	FBpp0099899	CG3662	CG3662-RB	CG3662-PB
FBgn0031285	FBtr0078012	FBpp0077677	CG3662	CG3662-RA	CG3662-PA
FBgn0031286	FBtr0078038	FBpp0077702	CG3862	CG3862-RA	CG3862-PA
FBgn0010583	FBtr0078013	FBpp0077678	CG3727	CG3727-RA	CG3727-PA
FBgn0010583	FBtr0078015	FBpp0077680	CG3727	CG3727-RC	CG3727-PC
FBgn0010583	FBtr0078014	FBpp0077679	CG3727	CG3727-RB	CG3727-PB
FBgn0020304	FBtr0078035	FBpp0077699	CG3365	CG3365-RB	CG3365-PB
FBgn0020304	FBtr0078036	FBpp0077700	CG3365	CG3365-RA	CG3365-PA
FBgn0020304	FBtr0078037	FBpp0077701	CG3365	CG3365-RC	CG3365-PC
FBgn0031287	FBtr0078034	FBpp0077698	CG4291	CG4291-RA	CG4291-PA
FBgn0020545	FBtr0078016	FBpp0077681	CG3943	CG3943-RA	CG3943-PA
FBgn0031288	FBtr0078017	FBpp0077682	CG13949	CG13949-RA	CG13949-PA
FBgn0031289	FBtr0078018	FBpp0077683	CG13950	CG13950-RA	CG13950-PA
FBgn0029095	FBtr0078033	FBpp0077697	CG4276	CG4276-RA	CG4276-PA
FBgn0029095	FBtr0078031	FBpp0077695	CG4276	CG4276-RD	CG4276-PD
FBgn0029095	FBtr0078032	FBpp0077696	CG4276	CG4276-RC	CG4276-PC
FBgn0020305	FBtr0078030	FBpp0077694	CG4258	CG4258-RA	CG4258-PA
FBgn0053526	FBtr0091486	FBpp0077686	CG33526	CG33526-RA	CG33526-PA
FBgn0053526	FBtr0091489	FBpp0077687	CG33526	CG33526-RD	CG33526-PD
FBgn0053526	FBtr0091487	FBpp0077684	CG33526	CG33526-RB	CG33526-PB
FBgn0053526	FBtr0091488	FBpp0077685	CG33526	CG33526-RC	CG33526-PC
FBgn0002936	FBtr0078023	FBpp0077688	CG3966	CG3966-RA	CG3966-PA
FBgn0031292	FBtr0078029	FBpp0077693	CG15824	CG15824-RA	CG15824-PA
FBgn0002563	FBtr0078025	FBpp0077690	CG4178	CG4178-RA	CG4178-PA
FBgn0046113	FBtr0078026	FBpp0077691	CG4226	CG4226-RB	CG4226-PB
FBgn0046113	FBtr0078027	FBpp0077692	CG4226	CG4226-RA	CG4226-PA
FBgn0028481	FBtr0077949	FBpp0077614	CG4341	CG4341-RA	CG4341-PA
FBgn0028481	FBtr0112936	FBpp0111849	CG4341	CG4341-RB	CG4341-PB
FBgn0031294	FBtr0089789	FBpp0088730	CG31795	CG31795-RA	CG31795-PA
FBgn0031294	FBtr0089790	FBpp0088731	CG31795	CG31795-RB	CG31795-PB
FBgn0031295	FBtr0077997	FBpp0077662	CG4375	CG4375-RA	CG4375-PA
FBgn0031296	FBtr0077951	FBpp0077616	CG4415	CG4415-RA	CG4415-PA
FBgn0003310	FBtr0077993	FBpp0077658	CG4385	CG4385-RB	CG4385-PB
FBgn0003310	FBtr0077994	FBpp0077659	CG4385	CG4385-RA	CG4385-PA
FBgn0015905	FBtr0077952	FBpp0077617	CG4426	CG4426-RA	CG4426-PA
FBgn0031298	FBtr0077953	FBpp0077618	CG4428	CG4428-RA	CG4428-PA
FBgn0031299	FBtr0077990	FBpp0077655	CG4629	CG4629-RA	CG4629-PA
FBgn0031299	FBtr0077992	FBpp0077657	CG4629	CG4629-RC	CG4629-PC
FBgn0031299	FBtr0077991	FBpp0077656	CG4629	CG4629-RB	CG4629-PB
FBgn0054016	FBtr0100071	FBpp0099427	CG34016	CG34016-RA	CG34016-PA
FBgn0031300	FBtr0077989	FBpp0077654	CG4644	CG4644-RA	CG4644-PA
FBgn0031301	FBtr0077954	FBpp0077619	CG14339	CG14339-RA	CG14339-PA
FBgn0031302	FBtr0077955	FBpp0077620	CG14340	CG14340-RA	CG14340-PA
FBgn0016926	FBtr0077987	FBpp0077652	CG4710	CG4710-RB	CG4710-PB
FBgn0016926	FBtr0077988	FBpp0077653	CG4710	CG4710-RA	CG4710-PA
FBgn0031304	FBtr0077956	FBpp0077621	CG4552	CG4552-RA	CG4552-PA
FBgn0031305	FBtr0077986	FBpp0077651	CG4715	CG4715-RA	CG4715-PA
FBgn0031306	FBtr0077957	FBpp0077622	CG4577	CG4577-RA	CG4577-PA
FBgn0031307	FBtr0077958	FBpp0077623	CG4726	CG4726-RA	CG4726-PA
FBgn0031308	FBtr0077959	FBpp0077624	CG4749	CG4749-RA	CG4749-PA
FBgn0031309	FBtr0077985	FBpp0077650	CG5041	CG5041-RA	CG5041-PA
FBgn0031310	FBtr0077960	FBpp0077625	CG4764	CG4764-RA	CG4764-PA
FBgn0028388	FBtr0100022	FBpp0099390	CG33979	CG33979-RA	CG33979-PA
FBgn0028388	FBtr0100023	FBpp0099391	CG33979	CG33979-RB	CG33979-PB
FBgn0031312	FBtr0077961	FBpp0077626	CG4775	CG4775-RA	CG4775-PA
FBgn0031313	FBtr0077981	FBpp0077646	CG5080	CG5080-RB	CG5080-PB
FBgn0031313	FBtr0077982	FBpp0077647	CG5080	CG5080-RA	CG5080-PA
FBgn0031314	FBtr0077962	FBpp0077627	CG4785	CG4785-RA	CG4785-PA
FBgn0031315	FBtr0077963	FBpp0077628	CG14341	CG14341-RA	CG14341-PA
FBgn0031315	FBtr0077964	FBpp0077629	CG14341	CG14341-RB	CG14341-PB
FBgn0024314	FBtr0077980	FBpp0077645	CG5105	CG5105-RA	CG5105-PA
FBgn0051922	FBtr0077965	FBpp0077630	CG31922	CG31922-RA	CG31922-PA
FBgn0031317	FBtr0077979	FBpp0077644	CG5118	CG5118-RA	CG5118-PA
FBgn0031318	FBtr0077966	FBpp0077631	CG4887	CG4887-RA	CG4887-PA
FBgn0031319	FBtr0077968	FBpp0077633	CG4896	CG4896-RD	CG4896-PD
FBgn0031319	FBtr0114467	FBpp0112959	CG4896	CG4896-RE	CG4896-PE
FBgn0031319	FBtr0077970	FBpp0077635	CG4896	CG4896-RC	CG4896-PC
FBgn0031320	FBtr0077978	FBpp0077643	CG5126	CG5126-RA	CG5126-PA
FBgn0031321	FBtr0077971	FBpp0077636	CG4947	CG4947-RA	CG4947-PA
FBgn0031322	FBtr0077972	FBpp0077637	CG5001	CG5001-RA	CG5001-PA
FBgn0031323	FBtr0077977	FBpp0077642	CG5139	CG5139-RA	CG5139-PA
FBgn0040723	FBtr0077973	FBpp0077638	CG5011	CG5011-RA	CG5011-PA
FBgn0031324	FBtr0114498	FBpp0112990	CG14342	CG14342-RB	CG14342-PB
FBgn0031325	FBtr0077975	FBpp0077640	CG14343	CG14343-RA	CG14343-PA
FBgn0031326	FBtr0077976	FBpp0077641	CG5156	CG5156-RA	CG5156-PA
FBgn0031327	FBtr0077920	FBpp0077586	CG5397	CG5397-RA	CG5397-PA
FBgn0041097	FBtr0077921	FBpp0077587	CG5423	CG5423-RA	CG5423-PA
FBgn0011294	FBtr0077922	FBpp0077588	CG5430	CG5430-RA	CG5430-PA
FBgn0031331	FBtr0077923	FBpp0077589	CG5440	CG5440-RA	CG5440-PA
FBgn0053923	FBtr0091927	FBpp0091162	CG33923	CG33923-RA	CG33923-PA
FBgn0053922	FBtr0091926	FBpp0091161	CG33922	CG33922-RA	CG33922-PA
FBgn0026141	FBtr0077925	FBpp0077591	CG5450	CG5450-RB	CG5450-PB
FBgn0026141	FBtr0077924	FBpp0077590	CG5450	CG5450-RA	CG5450-PA
FBgn0031332	FBtr0077948	FBpp0077613	CG5556	CG5556-RA	CG5556-PA
FBgn0031333	FBtr0077947	FBpp0077612	CG5561	CG5561-RA	CG5561-PA
FBgn0051924	FBtr0077945	FBpp0077610	CG31924	CG31924-RA	CG31924-PA
FBgn0051924	FBtr0077946	FBpp0077611	CG31924	CG31924-RB	CG31924-PB
FBgn0031335	FBtr0077944	FBpp0077609	CG5565	CG5565-RA	CG5565-PA
FBgn0051659	FBtr0077943	FBpp0077608	CG31659	CG31659-RA	CG31659-PA
FBgn0053126	FBtr0077942	FBpp0077607	CG33126	CG33126-RA	CG33126-PA
FBgn0031337	FBtr0077926	FBpp0077592	CG14346	CG14346-RA	CG14346-PA
FBgn0031337	FBtr0077927	FBpp0077593	CG14346	CG14346-RB	CG14346-PB
FBgn0002543	FBtr0077941	FBpp0077606	CG5481	CG5481-RA	CG5481-PA
FBgn0051928	FBtr0077929	FBpp0077594	CG31928	CG31928-RA	CG31928-PA
FBgn0053128	FBtr0077930	FBpp0077595	CG33128	CG33128-RA	CG33128-PA
FBgn0051926	FBtr0077931	FBpp0077596	CG31926	CG31926-RA	CG31926-PA
FBgn0051661	FBtr0077932	FBpp0077597	CG31661	CG31661-RA	CG31661-PA
FBgn0031343	FBtr0077935	FBpp0077600	CG18131	CG18131-RF	CG18131-PF
FBgn0031343	FBtr0077939	FBpp0077604	CG18131	CG18131-RD	CG18131-PD
FBgn0031343	FBtr0077938	FBpp0077603	CG18131	CG18131-RA	CG18131-PA
FBgn0031343	FBtr0077936	FBpp0077601	CG18131	CG18131-RC	CG18131-PC
FBgn0031343	FBtr0077937	FBpp0077602	CG18131	CG18131-RB	CG18131-PB
FBgn0031343	FBtr0077934	FBpp0077599	CG18131	CG18131-RE	CG18131-PE
FBgn0031344	FBtr0077933	FBpp0077598	CG7420	CG7420-RA	CG7420-PA
FBgn0031345	FBtr0077919	FBpp0077585	CG18132	CG18132-RA	CG18132-PA
FBgn0001174	FBtr0077918	FBpp0077584	CG7428	CG7428-RA	CG7428-PA
FBgn0001174	FBtr0114554	FBpp0113046	CG7428	CG7428-RB	CG7428-PB
FBgn0026398	FBtr0077873	FBpp0077541	CG12193	CG12193-RA	CG12193-PA
FBgn0026397	FBtr0077874	FBpp0077542	CG4231	CG4231-RA	CG4231-PA
FBgn0031349	FBtr0077875	FBpp0077543	CG14351	CG14351-RA	CG14351-PA
FBgn0031347	FBtr0113010	FBpp0111923	CG10869	CG10869-RB	CG10869-PB
FBgn0031347	FBtr0077917	FBpp0077583	CG10869	CG10869-RA	CG10869-PA
FBgn0051935	FBtr0077916	FBpp0077582	CG31935	CG31935-RA	CG31935-PA
FBgn0031351	FBtr0077876	FBpp0077544	CG14352	CG14352-RA	CG14352-PA
FBgn0021906	FBtr0077914	FBpp0077580	CG7361	CG7361-RA	CG7361-PA
FBgn0021906	FBtr0077915	FBpp0077581	CG7361	CG7361-RB	CG7361-PB
FBgn0086758	FBtr0077879	FBpp0077547	CG31666	CG31666-RB	CG31666-PB
FBgn0086758	FBtr0077877	FBpp0077545	CG31666	CG31666-RD	CG31666-PD
FBgn0086758	FBtr0077880	FBpp0077548	CG31666	CG31666-RC	CG31666-PC
FBgn0086758	FBtr0077878	FBpp0077546	CG31666	CG31666-RA	CG31666-PA
FBgn0011570	FBtr0077881	FBpp0077549	CG17158	CG17158-RA	CG17158-PA
FBgn0031356	FBtr0077912	FBpp0077578	CG17660	CG17660-RA	CG17660-PA
FBgn0031357	FBtr0077882	FBpp0077550	CG17642	CG17642-RA	CG17642-PA
FBgn0086698	FBtr0077911	FBpp0077577	CG17657	CG17657-RA	CG17657-PA
FBgn0031359	FBtr0077910	FBpp0077576	CG18317	CG18317-RA	CG18317-PA
FBgn0000579	FBtr0077907	FBpp0077573	CG17654	CG17654-RC	CG17654-PC
FBgn0000579	FBtr0077908	FBpp0077574	CG17654	CG17654-RD	CG17654-PD
FBgn0000579	FBtr0077906	FBpp0077572	CG17654	CG17654-RE	CG17654-PE
FBgn0000579	FBtr0077909	FBpp0077575	CG17654	CG17654-RA	CG17654-PA
FBgn0000579	FBtr0077905	FBpp0077571	CG17654	CG17654-RB	CG17654-PB
FBgn0051938	FBtr0077883	FBpp0077551	CG31938	CG31938-RA	CG31938-PA
FBgn0031360	FBtr0077884	FBpp0077552	CG31937	CG31937-RA	CG31937-PA
FBgn0031361	FBtr0077904	FBpp0077570	CG17652	CG17652-RA	CG17652-PA
FBgn0031362	FBtr0077886	FBpp0077554	CG17646	CG17646-RA	CG17646-PA
FBgn0031362	FBtr0077885	FBpp0077553	CG17646	CG17646-RB	CG17646-PB
FBgn0027597	FBtr0077903	FBpp0077569	CG17712	CG17712-RA	CG17712-PA
FBgn0031364	FBtr0077887	FBpp0077555	CG17648	CG17648-RA	CG17648-PA
FBgn0041249	FBtr0077902	FBpp0077568	CG31932	CG31932-RA	CG31932-PA
FBgn0031365	FBtr0077901	FBpp0077567	CG17650	CG17650-RA	CG17650-PA
FBgn0045497	FBtr0077888	FBpp0077556	CG31936	CG31936-RA	CG31936-PA
FBgn0045499	FBtr0077899	FBpp0077566	CG31929	CG31929-RA	CG31929-PA
FBgn0045500	FBtr0100188	FBpp0099546	CG31931	CG31931-RA	CG31931-PA
FBgn0045501	FBtr0077897	FBpp0077565	CG31662	CG31662-RA	CG31662-PA
FBgn0051933	FBtr0077896	FBpp0077564	CG31933	CG31933-RA	CG31933-PA
FBgn0051664	FBtr0077895	FBpp0077563	CG31664	CG31664-RA	CG31664-PA
FBgn0031367	FBtr0077894	FBpp0077562	CG15623	CG15623-RA	CG15623-PA
FBgn0051665	FBtr0089787	FBpp0088728	CG31665	CG31665-RA	CG31665-PA
FBgn0051665	FBtr0089786	FBpp0088727	CG31665	CG31665-RB	CG31665-PB
